EMSR,AOI,folder,folderPath,activationDate,GRA,DEL,centerBoxLong,centerBoxLat,resolution_x,resolution_y,height,width,pixelBurned,country,koppen_group,koppen_subgroup,fold,Severity_convention
EMSR213,AOI09,optimal,dataOptimal/EMSR213/AOI09/EMSR213_AOI09_03,2017-08-31T00:00:00.000,1,1,14.3472144955851,37.8433822941112,0.000112716249621,-9.06941235103e-05,1310,1128,26819,Italy,C,Csa,0,4
EMSR213,AOI09,optimal,dataOptimal/EMSR213/AOI09/EMSR213_AOI09_04,2017-08-31T00:00:00.000,1,1,14.3472144955851,37.9621915959097,0.0001129164561034,-9.06941235102e-05,1310,1126,35526,Italy,C,Csa,0,4
EMSR213,AOI10,optimal,dataOptimal/EMSR213/AOI10/EMSR213_AOI10_01,2017-08-31T00:00:00.000,1,1,15.5093552696888,38.2285984666906,0.0001149192494422,-8.96806180332e-05,1763,1617,152744,Italy,C,Csa,0,4
EMSR213,AOI11,optimal,dataOptimal/EMSR213/AOI11/EMSR213_AOI11_04,2017-08-31T00:00:00.000,1,1,14.9502344739139,38.1420405309101,0.0001140746264114,-9.01940528798e-05,1052,1214,150809,Italy,C,Csa,0,4
EMSR213,AOI11,optimal,dataOptimal/EMSR213/AOI11/EMSR213_AOI11_01,2017-08-31T00:00:00.000,1,1,14.8117478774504,38.0471563872804,0.0001137934235526,-9.03658510758e-05,1050,1217,10801,Italy,C,Csa,0,4
EMSR213,AOI11,optimal,dataOptimal/EMSR213/AOI11/EMSR213_AOI11_02,2017-08-31T00:00:00.000,1,1,14.8117478774504,38.1420405309101,0.0001138870036706,-9.03658510758e-05,1050,1216,22987,Italy,C,Csa,0,4
EMSR214,AOI01,optimal,dataOptimal/EMSR214/AOI01/EMSR214_AOI01_01,2017-07-28T00:00:00.000,1,1,9.39658532807006,42.6172857068372,0.0001225329174557,-8.96755088868e-05,726,749,211591,France,C,Csb,0,4
EMSR214,AOI02,optimal,dataOptimal/EMSR214/AOI02/EMSR214_AOI02_01,2017-07-28T00:00:00.000,1,1,5.65981579208636,43.6495962269235,0.0001275747566785,-8.68466420571e-05,1094,1185,123684,France,C,Csa,0,4
EMSR214,AOI02,optimal,dataOptimal/EMSR214/AOI02/EMSR214_AOI02_02,2017-07-28T00:00:00.000,1,1,5.8109918787505,43.554586000513,0.0001275747566785,-8.66091398454e-05,1097,1185,148360,France,C,Csa,0,4
EMSR214,AOI05,optimal,dataOptimal/EMSR214/AOI05/EMSR214_AOI05_01,2017-07-28T00:00:00.000,1,1,6.32278481384113,43.1196938939526,0.0001181828926686,-9.23589207503e-05,1062,894,133121,France,C,Csa,0,4
EMSR214,AOI06,optimal,dataOptimal/EMSR214/AOI06/EMSR214_AOI06_01,2017-07-28T00:00:00.000,1,1,6.62700921353474,43.1855036190209,0.0001195222772035,-9.25792520804e-05,770,785,50718,France,C,Csa,0,4
EMSR216,AOI01,optimal,dataOptimal/EMSR216/AOI01/EMSR216_AOI01_01,2017-08-04T00:00:00.000,1,1,-2.34080175254194,38.4419026247243,0.0001151574804878,-8.91261870024e-05,740,1107,321561,Spain,B,BSk,0,4
EMSR217,AOI01,optimal,dataOptimal/EMSR217/AOI01/EMSR217_AOI01_01,2017-08-04T00:00:00.000,1,1,19.5700010874032,40.2246040086961,0.0001162841445889,-9.24161198149e-05,686,1112,19585,Albania,C,Csb,0,4
EMSR217,AOI02,optimal,dataOptimal/EMSR217/AOI02/EMSR217_AOI02_01,2017-08-04T00:00:00.000,1,1,19.6938442546014,40.2291918472844,0.0001161592273632,-9.17750885181e-05,749,936,6058,Albania,C,Csa,0,4
EMSR217,AOI03,optimal,dataOptimal/EMSR217/AOI03/EMSR217_AOI03_01,2017-08-04T00:00:00.000,1,1,20.4477085976025,41.8007155902594,0.000119750595441,-9.06653126927e-05,669,752,8004,Albania,D,Dfb,0,4
EMSR217,AOI04,optimal,dataOptimal/EMSR217/AOI04/EMSR217_AOI04_01,2017-08-04T00:00:00.000,1,1,19.8795750161354,41.3829321689637,0.0001178496183939,-9.11679477933e-05,696,658,2815,Albania,C,Cfa,0,4
EMSR219,AOI01,optimal,dataOptimal/EMSR219/AOI01/EMSR219_AOI01_01,2017-08-06T00:00:00.000,1,1,-2.64156435624967,38.2620784602015,0.0001147623605595,-8.97458806567e-05,850,862,61589,Spain,C,Csa,0,4
EMSR221,AOI01,optimal,dataOptimal/EMSR221/AOI01/EMSR221_AOI01_01,2017-08-15T00:00:00.000,1,1,9.41740076399933,42.8156113575786,0.0001226534092856,-8.92142390892e-05,683,1276,132971,France,C,Csb,0,4
EMSR227,AOI01,optimal,dataOptimal/EMSR227/AOI01/EMSR227_AOI01_01,2017-08-22T00:00:00.000,1,1,-6.55533733731325,42.2529397067736,0.0001234287111989,-8.60606026641e-05,1229,1849,1020749,Spain,C,Csb,0,4
EMSR237,AOI01,optimal,dataOptimal/EMSR237/AOI01/EMSR237_AOI01_01,2017-09-10T00:00:00.000,1,1,-6.43826862931063,37.7404168686986,0.0001160928162142,-8.7140536203e-05,1043,1217,425965,Spain,C,Csa,0,4
EMSR239,AOI01,optimal,dataOptimal/EMSR239/AOI01/EMSR239_AOI01_01,2017-09-12T00:00:00.000,1,1,-6.00133422036791,37.8266995647254,0.000117130305239,-8.70980345946e-05,656,647,116846,Spain,C,Csa,0,4
EMSR248,AOI01,optimal,dataOptimal/EMSR248/AOI01/EMSR248_AOI01_01,2017-09-04T00:00:00.000,1,1,-6.10150955629745,41.6116227073278,0.0001223585766017,-8.49286726573e-05,773,1270,294106,Spain,C,Csb,0,4
EMSR248,AOI03,optimal,dataOptimal/EMSR248/AOI03/EMSR248_AOI03_01,2017-09-04T00:00:00.000,1,1,-5.57367010560709,40.452833715464,0.0001156053862649,-9.41463386461e-05,678,1070,199435,Spain,C,Csb,0,4
EMSR248,AOI04,optimal,dataOptimal/EMSR248/AOI04/EMSR248_AOI04_01,2017-09-04T00:00:00.000,1,1,-5.00657453380183,40.3839146693943,0.0001166965374394,-9.51776243349e-05,554,1378,154236,Spain,C,Csb,0,4
EMSR250,AOI01,optimal,dataOptimal/EMSR250/AOI01/EMSR250_AOI01_03,2017-10-17T00:00:00.000,1,1,-9.00820539738199,39.9646943682785,0.0001170963279418,-9.00974327188e-05,1448,1127,17250,Portugal,C,Csb,0,3
EMSR250,AOI01,optimal,dataOptimal/EMSR250/AOI01/EMSR250_AOI01_01,2017-10-17T00:00:00.000,1,1,-9.00820539738199,39.7037722031247,0.000116682194156,-9.00974327188e-05,1448,1131,535047,Portugal,C,Csb,0,3
EMSR250,AOI01,optimal,dataOptimal/EMSR250/AOI01/EMSR250_AOI01_06,2017-10-17T00:00:00.000,1,1,-8.87623783579152,39.9646943682785,0.0001173044991915,-8.99731603978e-05,1450,1125,605493,Portugal,C,Csb,0,3
EMSR250,AOI01,optimal,dataOptimal/EMSR250/AOI01/EMSR250_AOI01_05,2017-10-17T00:00:00.000,1,1,-8.87623783579152,39.8342332857016,0.0001170963279418,-8.99731603978e-05,1450,1127,286719,Portugal,C,Csb,0,3
EMSR250,AOI01,optimal,dataOptimal/EMSR250/AOI01/EMSR250_AOI01_02,2017-10-17T00:00:00.000,1,1,-9.00820539738199,39.8342332857016,0.0001168888942342,-9.00974327188e-05,1448,1129,539681,Portugal,C,Csb,0,3
EMSR250,AOI04,optimal,dataOptimal/EMSR250/AOI04/EMSR250_AOI04_01,2017-10-17T00:00:00.000,1,1,-8.41789688114171,42.0320379903314,0.000121862096098,-8.96345241646e-05,1141,852,338567,Portugal,C,Csb,0,3
EMSR252,AOI01,optimal,dataOptimal/EMSR252/AOI01/EMSR252_AOI01_01,2017-09-24T00:00:00.000,1,1,9.06286737050005,42.5655229755,0.00012185736838,-8.99203001345e-05,743,1284,150419,France,C,Csb,0,3
EMSR254,AOI01,optimal,dataOptimal/EMSR254/AOI01/EMSR254_AOI01_01,2017-11-06T00:00:00.000,1,1,-6.891,42.523,0.0001243243243243,-8.73634945397e-05,641,740,40842,Spain,C,Csb,0,3
EMSR254,AOI02,optimal,dataOptimal/EMSR254/AOI02/EMSR254_AOI02_01,2017-11-06T00:00:00.000,1,1,-6.65046174853372,42.3355,0.0001255794772556,-8.80983456728e-05,669,516,124282,Spain,C,Csb,0,3
EMSR254,AOI03,optimal,dataOptimal/EMSR254/AOI03/EMSR254_AOI03_01,2017-11-06T00:00:00.000,1,1,-6.50746413649995,41.2530109325001,0.0001226340506849,-8.73478486111e-05,720,730,49555,Spain,C,Csa,0,3
EMSR254,AOI04,optimal,dataOptimal/EMSR254/AOI04/EMSR254_AOI04_01,2017-11-06T00:00:00.000,1,1,-6.62953326249996,41.224005805,0.0001231614433811,-8.80046578599e-05,757,627,21438,Spain,C,Csa,0,3
EMSR281,AOI01,optimal,dataOptimal/EMSR281/AOI01/EMSR281_AOI01_01,2017-04-30T00:00:00.000,1,1,-4.12102942349995,58.5509517105001,0.0001690125589586,-9.12730995333e-05,643,653,209016,United Kingdom,C,Cfb,0,3
EMSR290,AOI03,optimal,dataOptimal/EMSR290/AOI03/EMSR290_AOI03_01,2018-06-09T00:00:00.000,1,1,16.2908891235001,59.8407807765001,0.0001828632699275,-8.84840285325e-05,736,552,3569,Sweden,D,Dfb,0,3
EMSR298,AOI02,optimal,dataOptimal/EMSR298/AOI02/EMSR298_AOI02_01,2018-07-16T00:00:00.000,1,1,16.403582463364103,63.12622964121354,0.0002071056504411,-8.87586529496e-05,1171,575,19760,Sweden,D,Dfc,0,3
EMSR298,AOI05,optimal,dataOptimal/EMSR298/AOI05/EMSR298_AOI05_01,2018-07-16T00:00:00.000,1,1,14.431975481352092,61.81573143902688,0.0001879907936017,-9.05485797104e-05,886,851,388607,Sweden,D,Dfc,0,3
EMSR298,AOI06,optimal,dataOptimal/EMSR298/AOI06/EMSR298_AOI06_01,2018-07-16T00:00:00.000,1,1,15.466560302456118,62.881361377404566,0.000199336692088,-8.93832334195e-05,1094,570,40835,Sweden,D,Dfc,0,3
EMSR302,AOI01,optimal,dataOptimal/EMSR302/AOI01/EMSR302_AOI01_01,2018-08-05T00:00:00.000,1,1,-6.56518909772418,37.7320290309344,0.000115270973811,-8.64632993893e-05,553,841,173398,Spain,C,Csa,0,3
EMSR365,AOI01,optimal,dataOptimal/EMSR365/AOI01/EMSR365_AOI01_01,2019-06-26T12:30:00.000,1,1,0.589068539964808,41.2798241430864,0.0001155905491865,-9.2220966454e-05,1580,1397,506521,Spain,B,BSk,0,3
EMSR368,AOI01,optimal,dataOptimal/EMSR368/AOI01/EMSR368_AOI01_02,2019-06-28T11:30:00.000,1,1,-4.88692053124994,40.2730050750001,0.0001144200613799,-9.15770501058e-05,1417,1116,151780,Spain,C,Csb,0,3
EMSR368,AOI01,optimal,dataOptimal/EMSR368/AOI01/EMSR368_AOI01_01,2019-06-28T11:30:00.000,1,1,-5.01461331974996,40.2730050750001,0.0001142153743291,-9.16417231638e-05,1416,1118,3881,Spain,B,BSk,0,3
EMSR371,AOI01,optimal,dataOptimal/EMSR371/AOI01/EMSR371_AOI01_01,2019-07-13T08:00:00.000,1,1,9.66599945000005,39.88904605,0.0001185419172932,-8.96879530916e-05,938,532,65948,Italy,B,BSk,0,3
EMSR372,AOI04,optimal,dataOptimal/EMSR372/AOI04/EMSR372_AOI04_01,2019-07-20T22:00:00.000,1,1,-8.07097532830124,39.7121235772439,0.0001177974242071,-8.90987876584e-05,1743,1854,965488,Portugal,C,Csa,0,3
EMSR373,AOI01,optimal,dataOptimal/EMSR373/AOI01/EMSR373_AOI01_01,2019-07-23T13:00:00.000,1,1,-0.5695155,41.7897115,0.0001229789579158,-8.67957658779e-05,803,998,88246,Spain,B,BSk,0,3
